0 0 
0 1 8 7 4 11 6 0 
0 1 8 7 4 12 6 0 
0 1 7 4 10 9 6 0 
0 1 7 9 4 11 6 0 
0 1 7 9 4 12 6 0 
0 1 7 10 4 11 6 0 
0 1 7 10 4 12 6 0 
0 1 7 4 12 11 6 0 
0 1 8 4 10 9 6 0 
0 1 8 9 4 11 6 0 
0 1 8 9 4 12 6 0 
0 1 8 10 4 11 6 0 
0 1 8 10 4 12 6 0 
0 1 8 4 12 11 6 0 
0 1 10 9 4 11 6 0 
0 1 10 9 4 12 6 0 
0 1 9 4 12 11 6 0 
0 1 10 4 12 11 6 0 
0 1 8 7 10 9 4 0 
0 1 8 7 9 11 4 0 
0 1 8 7 9 12 4 0 
0 1 8 7 10 11 4 0 
0 1 8 7 10 12 4 0 
0 1 8 7 11 12 4 0 
0 1 7 10 9 11 4 0 
0 1 7 10 9 12 4 0 
0 1 7 9 11 12 4 0 
0 1 7 10 11 12 4 0 
0 1 8 10 9 11 4 0 
0 1 8 10 9 12 4 0 
0 1 8 9 11 12 4 0 
0 1 8 10 11 12 4 0 
0 1 10 9 11 12 4 0 
0 1 8 7 9 6 5 0 
0 1 8 7 10 6 5 0 
0 1 8 7 11 6 5 0 
0 1 8 7 12 6 5 0 
0 1 7 10 9 6 5 0 
0 1 7 9 11 6 5 0 
0 1 7 9 12 6 5 0 
0 1 7 10 11 6 5 0 
0 1 7 10 12 6 5 0 
0 1 7 12 11 6 5 0 
0 1 8 10 9 6 5 0 
0 1 8 9 11 6 5 0 
0 1 8 9 12 6 5 0 
0 1 8 10 11 6 5 0 
0 1 8 10 12 6 5 0 
0 1 8 12 11 6 5 0 
0 1 10 9 11 6 5 0 
0 1 10 9 12 6 5 0 
0 1 9 12 11 6 5 0 
0 1 10 12 11 6 5 0 
0 1 8 7 10 9 5 0 
0 1 8 7 9 11 5 0 
0 1 8 7 9 12 5 0 
0 1 8 7 10 11 5 0 
0 1 8 7 10 12 5 0 
0 1 8 7 12 11 5 0 
0 1 7 10 9 11 5 0 
0 1 7 10 9 12 5 0 
0 1 7 9 12 11 5 0 
0 1 7 10 12 11 5 0 
0 1 8 10 9 11 5 0 
0 1 8 10 9 12 5 0 
0 1 8 9 12 11 5 0 
0 1 8 10 12 11 5 0 
0 1 10 9 12 11 5 0 
0 1 8 7 10 9 6 0 
0 1 8 7 9 11 6 0 
0 1 8 7 9 12 6 0 
0 1 8 7 10 11 6 0 
0 1 8 7 10 12 6 0 
0 1 8 7 12 11 6 0 
0 1 7 10 9 11 6 0 
0 1 7 10 9 12 6 0 
0 1 7 9 12 11 6 0 
0 1 7 10 12 11 6 0 
0 1 8 10 9 11 6 0 
0 1 8 10 9 12 6 0 
0 1 8 9 12 11 6 0 
0 1 8 10 12 11 6 0 
0 1 10 9 12 11 6 0 
0 1 8 7 10 9 11 0 
0 1 8 7 10 9 12 0 
0 1 8 7 9 12 11 0 
0 1 8 7 10 12 11 0 
0 1 7 10 9 12 11 0 
0 1 8 10 9 12 11 0 
0 2 7 4 3 6 5 0 
0 2 8 4 3 6 5 0 
0 2 9 4 3 6 5 0 
0 2 10 4 3 6 5 0 
0 2 4 3 11 6 5 0 
0 2 4 3 12 6 5 0 
0 2 8 7 4 3 5 0 
0 2 7 3 4 9 5 0 
0 2 7 3 4 10 5 0 
0 2 7 4 3 11 5 0 
0 2 7 4 3 12 5 0 
0 2 8 3 4 9 5 0 
0 2 8 3 4 10 5 0 
0 2 8 4 3 11 5 0 
0 2 8 4 3 12 5 0 
0 2 10 9 4 3 5 0 
0 2 9 4 3 11 5 0 
0 2 9 4 3 12 5 0 
0 2 10 4 3 11 5 0 
0 2 10 4 3 12 5 0 
0 2 4 3 12 11 5 0 
0 2 8 7 4 3 6 0 
0 2 7 3 4 9 6 0 
0 2 7 3 4 10 6 0 
0 2 7 4 3 11 6 0 
0 2 7 4 3 12 6 0 
0 2 8 3 4 9 6 0 
0 2 8 3 4 10 6 0 
0 2 8 4 3 11 6 0 
0 2 8 4 3 12 6 0 
0 2 10 9 4 3 6 0 
0 2 9 4 3 11 6 0 
0 2 9 4 3 12 6 0 
0 2 10 4 3 11 6 0 
0 2 10 4 3 12 6 0 
0 2 4 3 12 11 6 0 
0 2 8 7 9 4 3 0 
0 2 8 7 10 4 3 0 
0 2 8 7 11 3 4 0 
0 2 8 7 12 3 4 0 
0 2 7 10 9 4 3 0 
0 2 7 9 11 3 4 0 
0 2 7 9 12 3 4 0 
0 2 7 10 11 3 4 0 
0 2 7 10 12 3 4 0 
0 2 7 11 12 3 4 0 
0 2 8 10 9 4 3 0 
0 2 8 9 11 3 4 0 
0 2 8 9 12 3 4 0 
0 2 8 10 11 3 4 0 
0 2 8 10 12 3 4 0 
0 2 8 11 12 3 4 0 
0 2 10 9 11 3 4 0 
0 2 10 9 12 3 4 0 
0 2 9 11 12 3 4 0 
0 2 10 11 12 3 4 0 
0 2 8 7 3 6 5 0 
0 2 7 3 9 6 5 0 
0 2 7 3 10 6 5 0 
0 2 7 3 11 6 5 0 
0 2 7 3 12 6 5 0 
0 2 8 3 9 6 5 0 
0 2 8 3 10 6 5 0 
0 2 8 3 11 6 5 0 
0 2 8 3 12 6 5 0 
0 2 10 9 3 6 5 0 
0 2 9 3 11 6 5 0 
0 2 9 3 12 6 5 0 
0 2 10 3 11 6 5 0 
0 2 10 3 12 6 5 0 
0 2 3 12 11 6 5 0 
0 2 8 7 3 9 5 0 
0 2 8 7 3 10 5 0 
0 2 8 7 3 11 5 0 
0 2 8 7 3 12 5 0 
0 2 7 3 10 9 5 0 
0 2 7 9 3 11 5 0 
0 2 7 9 3 12 5 0 
0 2 7 10 3 11 5 0 
0 2 7 10 3 12 5 0 
0 2 7 3 12 11 5 0 
0 2 8 3 10 9 5 0 
0 2 8 9 3 11 5 0 
0 2 8 9 3 12 5 0 
0 2 8 10 3 11 5 0 
0 2 8 10 3 12 5 0 
0 2 8 3 12 11 5 0 
0 2 10 9 3 11 5 0 
0 2 10 9 3 12 5 0 
0 2 9 3 12 11 5 0 
0 2 10 3 12 11 5 0 
0 2 8 7 3 9 6 0 
0 2 8 7 3 10 6 0 
0 2 8 7 3 11 6 0 
0 2 8 7 3 12 6 0 
0 2 7 3 10 9 6 0 
0 2 7 9 3 11 6 0 
0 2 7 9 3 12 6 0 
0 2 7 10 3 11 6 0 
0 2 7 10 3 12 6 0 
0 2 7 3 12 11 6 0 
0 2 8 3 10 9 6 0 
0 2 8 9 3 11 6 0 
0 2 8 9 3 12 6 0 
0 2 8 10 3 11 6 0 
0 2 8 10 3 12 6 0 
0 2 8 3 12 11 6 0 
0 2 10 9 3 11 6 0 
0 2 10 9 3 12 6 0 
0 2 9 3 12 11 6 0 
0 2 10 3 12 11 6 0 
0 2 8 7 10 9 3 0 
0 2 8 7 9 11 3 0 
0 2 8 7 9 12 3 0 
0 2 8 7 10 11 3 0 
0 2 8 7 10 12 3 0 
0 2 8 7 11 12 3 0 
0 2 7 10 9 11 3 0 
0 2 7 10 9 12 3 0 
0 2 7 9 11 12 3 0 
0 2 7 10 11 12 3 0 
0 2 8 10 9 11 3 0 
0 2 8 10 9 12 3 0 
0 2 8 9 11 12 3 0 
0 2 8 10 11 12 3 0 
0 2 10 9 11 12 3 0 
0 2 8 7 4 6 5 0 
0 2 7 4 9 6 5 0 
0 2 7 4 10 6 5 0 
0 2 7 4 11 6 5 0 
0 2 7 4 12 6 5 0 
0 2 8 4 9 6 5 0 
0 2 8 4 10 6 5 0 
0 2 8 4 11 6 5 0 
0 2 8 4 12 6 5 0 
0 2 10 9 4 6 5 0 
0 2 9 4 11 6 5 0 
0 2 9 4 12 6 5 0 
0 2 10 4 11 6 5 0 
0 2 10 4 12 6 5 0 
0 2 4 12 11 6 5 0 
0 2 8 7 4 9 5 0 
0 2 8 7 4 10 5 0 
0 2 8 7 4 11 5 0 
0 2 8 7 4 12 5 0 
0 2 7 4 10 9 5 0 
0 2 7 9 4 11 5 0 
0 2 7 9 4 12 5 0 
0 2 7 10 4 11 5 0 
0 2 7 10 4 12 5 0 
0 2 7 4 12 11 5 0 
0 2 8 4 10 9 5 0 
0 2 8 9 4 11 5 0 
0 2 8 9 4 12 5 0 
0 2 8 10 4 11 5 0 
0 2 8 10 4 12 5 0 
0 2 8 4 12 11 5 0 
0 2 10 9 4 11 5 0 
0 2 10 9 4 12 5 0 
0 2 9 4 12 11 5 0 
0 2 10 4 12 11 5 0 
0 2 8 7 4 9 6 0 
0 2 8 7 4 10 6 0 
0 2 8 7 4 11 6 0 
0 2 8 7 4 12 6 0 
0 2 7 4 10 9 6 0 
0 2 7 9 4 11 6 0 
0 2 7 9 4 12 6 0 
0 2 7 10 4 11 6 0 
0 2 7 10 4 12 6 0 
0 2 7 4 12 11 6 0 
0 2 8 4 10 9 6 0 
0 2 8 9 4 11 6 0 
0 2 8 9 4 12 6 0 
0 2 8 10 4 11 6 0 
0 2 8 10 4 12 6 0 
0 2 8 4 12 11 6 0 
0 2 10 9 4 11 6 0 
0 2 10 9 4 12 6 0 
0 2 9 4 12 11 6 0 
0 2 10 4 12 11 6 0 
0 2 8 7 10 9 4 0 
0 2 8 7 9 11 4 0 
0 2 8 7 9 12 4 0 
0 2 8 7 10 11 4 0 
0 2 8 7 10 12 4 0 
0 2 8 7 11 12 4 0 
0 2 7 10 9 11 4 0 
0 2 7 10 9 12 4 0 
0 2 7 9 11 12 4 0 
0 2 7 10 11 12 4 0 
0 2 8 10 9 11 4 0 
0 2 8 10 9 12 4 0 
0 2 8 9 11 12 4 0 
0 2 8 10 11 12 4 0 
0 2 10 9 11 12 4 0 
0 2 8 7 9 6 5 0 
0 2 8 7 10 6 5 0 
0 2 8 7 11 6 5 0 
0 2 8 7 12 6 5 0 
0 2 7 10 9 6 5 0 
0 2 7 9 11 6 5 0 
0 2 7 9 12 6 5 0 
0 2 7 10 11 6 5 0 
0 2 7 10 12 6 5 0 
0 2 7 12 11 6 5 0 
0 2 8 10 9 6 5 0 
0 2 8 9 11 6 5 0 
0 2 8 9 12 6 5 0 
0 2 8 10 11 6 5 0 
0 2 8 10 12 6 5 0 
0 2 8 12 11 6 5 0 
0 2 10 9 11 6 5 0 
0 2 10 9 12 6 5 0 
0 2 9 12 11 6 5 0 
0 2 10 12 11 6 5 0 
0 2 8 7 10 9 5 0 
0 2 8 7 9 11 5 0 
0 2 8 7 9 12 5 0 
0 2 8 7 10 11 5 0 
0 2 8 7 10 12 5 0 
0 2 8 7 12 11 5 0 
0 2 7 10 9 11 5 0 
0 2 7 10 9 12 5 0 
0 2 7 9 12 11 5 0 
0 2 7 10 12 11 5 0 
0 2 8 10 9 11 5 0 
0 2 8 10 9 12 5 0 
0 2 8 9 12 11 5 0 
0 2 8 10 12 11 5 0 
0 2 10 9 12 11 5 0 
0 2 8 7 10 9 6 0 
0 2 8 7 9 11 6 0 
0 2 8 7 9 12 6 0 
0 2 8 7 10 11 6 0 
0 2 8 7 10 12 6 0 
0 2 8 7 12 11 6 0 
0 2 7 10 9 11 6 0 
0 2 7 10 9 12 6 0 
0 2 7 9 12 11 6 0 
0 2 7 10 12 11 6 0 
0 2 8 10 9 11 6 0 
0 2 8 10 9 12 6 0 
0 2 8 9 12 11 6 0 
0 2 8 10 12 11 6 0 
0 2 10 9 12 11 6 0 
0 2 8 7 10 9 11 0 
0 2 8 7 10 9 12 0 
0 2 8 7 9 12 11 0 
0 2 8 7 10 12 11 0 
0 2 7 10 9 12 11 0 
0 2 8 10 9 12 11 0 
0 4 3 8 7 6 5 0 
0 4 3 9 7 6 5 0 
0 4 3 10 7 6 5 0 
0 4 3 7 11 6 5 0 
0 4 3 7 12 6 5 0 
0 4 3 9 8 6 5 0 
0 4 3 10 8 6 5 0 
0 4 3 8 11 6 5 0 
0 4 3 8 12 6 5 0 
0 4 3 10 9 6 5 0 
0 4 3 9 11 6 5 0 
0 4 3 9 12 6 5 0 
0 4 3 10 11 6 5 0 
0 4 3 10 12 6 5 0 
0 4 3 12 11 6 5 0 
0 4 3 9 8 7 5 0 
0 4 3 10 8 7 5 0 
0 4 3 8 7 11 5 0 
0 4 3 8 7 12 5 0 
0 4 3 10 9 7 5 0 
0 4 3 7 9 11 5 0 
0 4 3 7 9 12 5 0 
0 4 3 7 10 11 5 0 
0 4 3 7 10 12 5 0 
0 4 3 7 12 11 5 0 
0 4 3 10 9 8 5 0 
0 4 3 8 9 11 5 0 
0 4 3 8 9 12 5 0 
0 4 3 8 10 11 5 0 
0 4 3 8 10 12 5 0 
0 4 3 8 12 11 5 0 
0 4 3 10 9 11 5 0 
0 4 3 10 9 12 5 0 
0 4 3 9 12 11 5 0 
0 4 3 10 12 11 5 0 
0 4 3 9 8 7 6 0 
0 4 3 10 8 7 6 0 
0 4 3 8 7 11 6 0 
0 4 3 8 7 12 6 0 
0 4 3 10 9 7 6 0 
0 4 3 7 9 11 6 0 
0 4 3 7 9 12 6 0 
0 4 3 7 10 11 6 0 
0 4 3 7 10 12 6 0 
0 4 3 7 12 11 6 0 
0 4 3 10 9 8 6 0 
0 4 3 8 9 11 6 0 
0 4 3 8 9 12 6 0 
0 4 3 8 10 11 6 0 
0 4 3 8 10 12 6 0 
0 4 3 8 12 11 6 0 
0 4 3 10 9 11 6 0 
0 4 3 10 9 12 6 0 
0 4 3 9 12 11 6 0 
0 4 3 10 12 11 6 0 
0 4 3 10 9 8 7 0 
0 4 3 9 11 8 7 0 
0 4 3 9 12 8 7 0 
0 4 3 10 11 8 7 0 
0 4 3 10 12 8 7 0 
0 4 3 12 11 8 7 0 
0 4 3 10 9 11 7 0 
0 4 3 10 9 12 7 0 
0 4 3 9 12 11 7 0 
0 4 3 10 12 11 7 0 
0 4 3 10 9 11 8 0 
0 4 3 10 9 12 8 0 
0 4 3 9 12 11 8 0 
0 4 3 10 12 11 8 0 
0 4 3 10 9 12 11 0 
0 3 9 8 7 6 5 0 
0 3 10 8 7 6 5 0 
0 3 8 7 11 6 5 0 
0 3 8 7 12 6 5 0 
0 3 10 9 7 6 5 0 
0 3 7 9 11 6 5 0 
0 3 7 9 12 6 5 0 
0 3 7 10 11 6 5 0 
0 3 7 10 12 6 5 0 
0 3 7 12 11 6 5 0 
0 3 10 9 8 6 5 0 
0 3 8 9 11 6 5 0 
0 3 8 9 12 6 5 0 
0 3 8 10 11 6 5 0 
0 3 8 10 12 6 5 0 
0 3 8 12 11 6 5 0 
0 3 10 9 11 6 5 0 
0 3 10 9 12 6 5 0 
0 3 9 12 11 6 5 0 
0 3 10 12 11 6 5 0 
0 3 10 9 8 7 5 0 
0 3 9 8 7 11 5 0 
0 3 9 8 7 12 5 0 
0 3 10 8 7 11 5 0 
0 3 10 8 7 12 5 0 
0 3 8 7 12 11 5 0 
0 3 7 10 9 11 5 0 
0 3 7 10 9 12 5 0 
0 3 7 9 12 11 5 0 
0 3 7 10 12 11 5 0 
0 3 8 10 9 11 5 0 
0 3 8 10 9 12 5 0 
0 3 8 9 12 11 5 0 
0 3 8 10 12 11 5 0 
0 3 10 9 12 11 5 0 
0 3 10 9 8 7 6 0 
0 3 9 8 7 11 6 0 
0 3 9 8 7 12 6 0 
0 3 10 8 7 11 6 0 
0 3 10 8 7 12 6 0 
0 3 8 7 12 11 6 0 
0 3 7 10 9 11 6 0 
0 3 7 10 9 12 6 0 
0 3 7 9 12 11 6 0 
0 3 7 10 12 11 6 0 
0 3 8 10 9 11 6 0 
0 3 8 10 9 12 6 0 
0 3 8 9 12 11 6 0 
0 3 8 10 12 11 6 0 
0 3 10 9 12 11 6 0 
0 3 10 9 11 8 7 0 
0 3 10 9 12 8 7 0 
0 3 9 12 11 8 7 0 
0 3 10 12 11 8 7 0 
0 3 10 9 12 11 7 0 
0 3 10 9 12 11 8 0 
0 4 9 8 7 6 5 0 
0 4 10 8 7 6 5 0 
0 4 8 7 11 6 5 0 
0 4 8 7 12 6 5 0 
0 4 10 9 7 6 5 0 
0 4 7 9 11 6 5 0 
0 4 7 9 12 6 5 0 
0 4 7 10 11 6 5 0 
0 4 7 10 12 6 5 0 
0 4 7 12 11 6 5 0 
0 4 10 9 8 6 5 0 
0 4 8 9 11 6 5 0 
0 4 8 9 12 6 5 0 
0 4 8 10 11 6 5 0 
0 4 8 10 12 6 5 0 
0 4 8 12 11 6 5 0 
0 4 10 9 11 6 5 0 
0 4 10 9 12 6 5 0 
0 4 9 12 11 6 5 0 
0 4 10 12 11 6 5 0 
0 4 10 9 8 7 5 0 
0 4 9 8 7 11 5 0 
0 4 9 8 7 12 5 0 
0 4 10 8 7 11 5 0 
0 4 10 8 7 12 5 0 
0 4 8 7 12 11 5 0 
0 4 7 10 9 11 5 0 
0 4 7 10 9 12 5 0 
0 4 7 9 12 11 5 0 
0 4 7 10 12 11 5 0 
0 4 8 10 9 11 5 0 
0 4 8 10 9 12 5 0 
0 4 8 9 12 11 5 0 
0 4 8 10 12 11 5 0 
0 4 10 9 12 11 5 0 
0 4 10 9 8 7 6 0 
0 4 9 8 7 11 6 0 
0 4 9 8 7 12 6 0 
0 4 10 8 7 11 6 0 
0 4 10 8 7 12 6 0 
0 4 8 7 12 11 6 0 
0 4 7 10 9 11 6 0 
0 4 7 10 9 12 6 0 
0 4 7 9 12 11 6 0 
0 4 7 10 12 11 6 0 
0 4 8 10 9 11 6 0 
0 4 8 10 9 12 6 0 
0 4 8 9 12 11 6 0 
0 4 8 10 12 11 6 0 
0 4 10 9 12 11 6 0 
0 4 10 9 11 8 7 0 
0 4 10 9 12 8 7 0 
0 4 9 12 11 8 7 0 
0 4 10 12 11 8 7 0 
0 4 10 9 12 11 7 0 
0 4 10 9 12 11 8 0 
0 8 7 10 9 6 5 0 
0 8 7 9 11 6 5 0 
0 8 7 9 12 6 5 0 
0 8 7 10 11 6 5 0 
0 8 7 10 12 6 5 0 
0 8 7 12 11 6 5 0 
0 7 10 9 11 6 5 0 
0 7 10 9 12 6 5 0 
0 7 9 12 11 6 5 0 
0 7 10 12 11 6 5 0 
0 8 10 9 11 6 5 0 
0 8 10 9 12 6 5 0 
0 8 9 12 11 6 5 0 
0 8 10 12 11 6 5 0 
0 6 5 12 11 10 9 0 
0 8 7 10 9 11 5 0 
0 8 7 10 9 12 5 0 
0 8 7 9 12 11 5 0 
0 8 7 10 12 11 5 0 
0 7 10 9 12 11 5 0 
0 8 10 9 12 11 5 0 
0 8 7 10 9 11 6 0 
0 8 7 10 9 12 6 0 
0 8 7 9 12 11 6 0 
0 8 7 10 12 11 6 0 
0 7 10 9 12 11 6 0 
0 8 10 9 12 11 6 0 
0 8 7 10 9 12 11 0 
0 2 1 7 4 3 6 5 0 
0 2 1 8 4 3 6 5 0 
0 2 1 9 4 3 6 5 0 
0 2 1 10 4 3 6 5 0 
0 2 1 4 3 11 6 5 0 
0 2 1 4 3 12 6 5 0 
0 2 1 8 7 4 3 5 0 
0 2 1 7 3 4 9 5 0 
0 2 1 7 3 4 10 5 0 
0 2 1 7 4 3 11 5 0 
0 2 1 7 4 3 12 5 0 
0 2 1 8 3 4 9 5 0 
0 2 1 8 3 4 10 5 0 
0 2 1 8 4 3 11 5 0 
0 2 1 8 4 3 12 5 0 
0 2 1 10 9 4 3 5 0 
0 2 1 9 4 3 11 5 0 
0 2 1 9 4 3 12 5 0 
0 2 1 10 4 3 11 5 0 
0 2 1 10 4 3 12 5 0 
0 2 1 4 3 12 11 5 0 
0 2 1 8 7 4 3 6 0 
0 2 1 7 3 4 9 6 0 
0 2 1 7 3 4 10 6 0 
0 2 1 7 4 3 11 6 0 
0 2 1 7 4 3 12 6 0 
0 2 1 8 3 4 9 6 0 
0 2 1 8 3 4 10 6 0 
0 2 1 8 4 3 11 6 0 
0 2 1 8 4 3 12 6 0 
0 2 1 10 9 4 3 6 0 
0 2 1 9 4 3 11 6 0 
0 2 1 9 4 3 12 6 0 
0 2 1 10 4 3 11 6 0 
0 2 1 10 4 3 12 6 0 
0 2 1 4 3 12 11 6 0 
0 2 1 8 7 9 4 3 0 
0 2 1 8 7 10 4 3 0 
0 2 1 8 7 11 3 4 0 
0 2 1 8 7 12 3 4 0 
0 2 1 7 10 9 4 3 0 
0 2 1 7 9 11 3 4 0 
0 2 1 7 9 12 3 4 0 
0 2 1 7 10 11 3 4 0 
0 2 1 7 10 12 3 4 0 
0 2 1 7 11 12 3 4 0 
0 2 1 8 10 9 4 3 0 
0 2 1 8 9 11 3 4 0 
0 2 1 8 9 12 3 4 0 
0 2 1 8 10 11 3 4 0 
0 2 1 8 10 12 3 4 0 
0 2 1 8 11 12 3 4 0 
0 2 1 10 9 11 3 4 0 
0 2 1 10 9 12 3 4 0 
0 2 1 9 11 12 3 4 0 
0 2 1 10 11 12 3 4 0 
0 2 1 8 7 3 6 5 0 
0 2 1 7 3 9 6 5 0 
0 2 1 7 3 10 6 5 0 
0 2 1 7 3 11 6 5 0 
0 2 1 7 3 12 6 5 0 
0 2 1 8 3 9 6 5 0 
0 2 1 8 3 10 6 5 0 
0 2 1 8 3 11 6 5 0 
0 2 1 8 3 12 6 5 0 
0 2 1 10 9 3 6 5 0 
0 2 1 9 3 11 6 5 0 
0 2 1 9 3 12 6 5 0 
0 2 1 10 3 11 6 5 0 
0 2 1 10 3 12 6 5 0 
0 2 1 3 12 11 6 5 0 
0 2 1 8 7 3 9 5 0 
0 2 1 8 7 3 10 5 0 
0 2 1 8 7 3 11 5 0 
0 2 1 8 7 3 12 5 0 
0 2 1 7 3 10 9 5 0 
0 2 1 7 9 3 11 5 0 
0 2 1 7 9 3 12 5 0 
0 2 1 7 10 3 11 5 0 
0 2 1 7 10 3 12 5 0 
0 2 1 7 3 12 11 5 0 
0 2 1 8 3 10 9 5 0 
0 2 1 8 9 3 11 5 0 
0 2 1 8 9 3 12 5 0 
0 2 1 8 10 3 11 5 0 
0 2 1 8 10 3 12 5 0 
0 2 1 8 3 12 11 5 0 
0 2 1 10 9 3 11 5 0 
0 2 1 10 9 3 12 5 0 
0 2 1 9 3 12 11 5 0 
0 2 1 10 3 12 11 5 0 
0 2 1 8 7 3 9 6 0 
0 2 1 8 7 3 10 6 0 
0 2 1 8 7 3 11 6 0 
0 2 1 8 7 3 12 6 0 
0 2 1 7 3 10 9 6 0 
0 2 1 7 9 3 11 6 0 
0 2 1 7 9 3 12 6 0 
0 2 1 7 10 3 11 6 0 
0 2 1 7 10 3 12 6 0 
0 2 1 7 3 12 11 6 0 
0 2 1 8 3 10 9 6 0 
0 2 1 8 9 3 11 6 0 
0 2 1 8 9 3 12 6 0 
0 2 1 8 10 3 11 6 0 
0 2 1 8 10 3 12 6 0 
0 2 1 8 3 12 11 6 0 
0 2 1 10 9 3 11 6 0 
0 2 1 10 9 3 12 6 0 
0 2 1 9 3 12 11 6 0 
0 2 1 10 3 12 11 6 0 
0 2 1 8 7 10 9 3 0 
0 2 1 8 7 9 11 3 0 
0 2 1 8 7 9 12 3 0 
0 2 1 8 7 10 11 3 0 
0 2 1 8 7 10 12 3 0 
0 2 1 8 7 11 12 3 0 
0 2 1 7 10 9 11 3 0 
0 2 1 7 10 9 12 3 0 
0 2 1 7 9 11 12 3 0 
0 2 1 7 10 11 12 3 0 
0 2 1 8 10 9 11 3 0 
0 2 1 8 10 9 12 3 0 
0 2 1 8 9 11 12 3 0 
0 2 1 8 10 11 12 3 0 
0 2 1 10 9 11 12 3 0 
0 2 1 8 7 4 6 5 0 
0 2 1 7 4 9 6 5 0 
0 2 1 7 4 10 6 5 0 
0 2 1 7 4 11 6 5 0 
0 2 1 7 4 12 6 5 0 
0 2 1 8 4 9 6 5 0 
0 2 1 8 4 10 6 5 0 
0 2 1 8 4 11 6 5 0 
0 2 1 8 4 12 6 5 0 
0 2 1 10 9 4 6 5 0 
0 2 1 9 4 11 6 5 0 
0 2 1 9 4 12 6 5 0 
0 2 1 10 4 11 6 5 0 
0 2 1 10 4 12 6 5 0 
0 2 1 4 12 11 6 5 0 
0 2 1 8 7 4 9 5 0 
0 2 1 8 7 4 10 5 0 
0 2 1 8 7 4 11 5 0 
0 2 1 8 7 4 12 5 0 
0 2 1 7 4 10 9 5 0 
0 2 1 7 9 4 11 5 0 
0 2 1 7 9 4 12 5 0 
0 2 1 7 10 4 11 5 0 
0 2 1 7 10 4 12 5 0 
0 2 1 7 4 12 11 5 0 
0 2 1 8 4 10 9 5 0 
0 2 1 8 9 4 11 5 0 
0 2 1 8 9 4 12 5 0 
0 2 1 8 10 4 11 5 0 
0 2 1 8 10 4 12 5 0 
0 2 1 8 4 12 11 5 0 
0 2 1 10 9 4 11 5 0 
0 2 1 10 9 4 12 5 0 
0 2 1 9 4 12 11 5 0 
0 2 1 10 4 12 11 5 0 
0 2 1 8 7 4 9 6 0 
0 2 1 8 7 4 10 6 0 
0 2 1 8 7 4 11 6 0 
0 2 1 8 7 4 12 6 0 
0 2 1 7 4 10 9 6 0 
0 2 1 7 9 4 11 6 0 
0 2 1 7 9 4 12 6 0 
0 2 1 7 10 4 11 6 0 
0 2 1 7 10 4 12 6 0 
0 2 1 7 4 12 11 6 0 
0 2 1 8 4 10 9 6 0 
0 2 1 8 9 4 11 6 0 
0 2 1 8 9 4 12 6 0 
0 2 1 8 10 4 11 6 0 
0 2 1 8 10 4 12 6 0 
0 2 1 8 4 12 11 6 0 
0 2 1 10 9 4 11 6 0 
0 2 1 10 9 4 12 6 0 
0 2 1 9 4 12 11 6 0 
0 2 1 10 4 12 11 6 0 
0 2 1 8 7 10 9 4 0 
0 2 1 8 7 9 11 4 0 
0 2 1 8 7 9 12 4 0 
0 2 1 8 7 10 11 4 0 
0 2 1 8 7 10 12 4 0 
0 2 1 8 7 11 12 4 0 
0 2 1 7 10 9 11 4 0 
0 2 1 7 10 9 12 4 0 
0 2 1 7 9 11 12 4 0 
0 2 1 7 10 11 12 4 0 
0 2 1 8 10 9 11 4 0 
0 2 1 8 10 9 12 4 0 
0 2 1 8 9 11 12 4 0 
0 2 1 8 10 11 12 4 0 
0 2 1 10 9 11 12 4 0 
0 2 1 8 7 9 6 5 0 
0 2 1 8 7 10 6 5 0 
0 2 1 8 7 11 6 5 0 
0 2 1 8 7 12 6 5 0 
0 2 1 7 10 9 6 5 0 
0 2 1 7 9 11 6 5 0 
0 2 1 7 9 12 6 5 0 
0 2 1 7 10 11 6 5 0 
0 2 1 7 10 12 6 5 0 
0 2 1 7 12 11 6 5 0 
0 2 1 8 10 9 6 5 0 
0 2 1 8 9 11 6 5 0 
0 2 1 8 9 12 6 5 0 
0 2 1 8 10 11 6 5 0 
0 2 1 8 10 12 6 5 0 
0 2 1 8 12 11 6 5 0 
0 2 1 10 9 11 6 5 0 
0 2 1 10 9 12 6 5 0 
0 2 1 9 12 11 6 5 0 
0 2 1 10 12 11 6 5 0 
0 2 1 8 7 10 9 5 0 
0 2 1 8 7 9 11 5 0 
0 2 1 8 7 9 12 5 0 
0 2 1 8 7 10 11 5 0 
0 2 1 8 7 10 12 5 0 
0 2 1 8 7 12 11 5 0 
0 2 1 7 10 9 11 5 0 
0 2 1 7 10 9 12 5 0 
0 2 1 7 9 12 11 5 0 
0 2 1 7 10 12 11 5 0 
0 2 1 8 10 9 11 5 0 
0 2 1 8 10 9 12 5 0 
0 2 1 8 9 12 11 5 0 
0 2 1 8 10 12 11 5 0 
0 2 1 10 9 12 11 5 0 
0 2 1 8 7 10 9 6 0 
0 2 1 8 7 9 11 6 0 
0 2 1 8 7 9 12 6 0 
0 2 1 8 7 10 11 6 0 
0 2 1 8 7 10 12 6 0 
0 2 1 8 7 12 11 6 0 
0 2 1 7 10 9 11 6 0 
0 2 1 7 10 9 12 6 0 
0 2 1 7 9 12 11 6 0 
0 2 1 7 10 12 11 6 0 
0 2 1 8 10 9 11 6 0 
0 2 1 8 10 9 12 6 0 
